Date : 2021-02-12 01:56:08
Directory : c:\xampp\htdocs\exMed
Total : 5308 files,  463290 codes, 55597 comments, 61492 blanks, all 580379 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\exMed\system\libraries\User_agent.php                                                                              | PHP        |        292 |        293 |         97 |        682 |
| c:\xampp\htdocs\exMed\system\libraries\Xmlrpc.php                                                                                  | PHP        |        961 |        711 |        249 |      1,921 |
| c:\xampp\htdocs\exMed\system\libraries\Xmlrpcs.php                                                                                 | PHP        |        335 |        185 |        100 |        620 |
| c:\xampp\htdocs\exMed\system\libraries\Zip.php                                                                                     | PHP        |        249 |        221 |         63 |        533 |
| c:\xampp\htdocs\exMed\system\libraries\index.html                                                                                  | HTML       |          9 |          0 |          3 |         12 |
| c:\xampp\htdocs\exMed\user_guide\DCO.html                                                                                          | HTML       |        430 |          1 |         86 |        517 |
| c:\xampp\htdocs\exMed\user_guide\_static\basic.css                                                                                 | CSS        |        473 |         28 |        138 |        639 |
| c:\xampp\htdocs\exMed\user_guide\_static\css\badge_only.css                                                                        | CSS        |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\exMed\user_guide\_static\css\citheme.css                                                                           | CSS        |         75 |          1 |         12 |         88 |
| c:\xampp\htdocs\exMed\user_guide\_static\css\theme.css                                                                             | CSS        |          2 |          3 |          1 |          6 |
| c:\xampp\htdocs\exMed\user_guide\_static\doctools.js                                                                               | JavaScript |        185 |         76 |         26 |        287 |
| c:\xampp\htdocs\exMed\user_guide\_static\fonts\fontawesome-webfont.svg                                                             | XML        |        414 |          0 |          0 |        414 |
| c:\xampp\htdocs\exMed\user_guide\_static\jquery-3.1.0.js                                                                           | JavaScript |      6,525 |      1,660 |      1,890 |     10,075 |
| c:\xampp\htdocs\exMed\user_guide\_static\jquery.js                                                                                 | JavaScript |          3 |          1 |          1 |          5 |
| c:\xampp\htdocs\exMed\user_guide\_static\js\oldtheme.js                                                                            | JavaScript |         43 |          3 |          2 |         48 |
| c:\xampp\htdocs\exMed\user_guide\_static\js\theme.js                                                                               | JavaScript |        111 |         18 |          6 |        135 |
| c:\xampp\htdocs\exMed\user_guide\_static\pygments.css                                                                              | CSS        |         63 |          0 |          0 |         63 |
| c:\xampp\htdocs\exMed\user_guide\_static\searchtools.js                                                                            | JavaScript |        576 |        107 |         75 |        758 |
| c:\xampp\htdocs\exMed\user_guide\_static\underscore-1.3.1.js                                                                       | JavaScript |        665 |        222 |        113 |      1,000 |
| c:\xampp\htdocs\exMed\user_guide\_static\underscore.js                                                                             | JavaScript |         24 |          7 |          1 |         32 |
| c:\xampp\htdocs\exMed\user_guide\_static\websupport.js                                                                             | JavaScript |        638 |        106 |         65 |        809 |
| c:\xampp\htdocs\exMed\user_guide\changelog.html                                                                                    | HTML       |      4,183 |          1 |         85 |      4,269 |
| c:\xampp\htdocs\exMed\user_guide\contributing\index.html                                                                           | HTML       |        529 |          1 |         85 |        615 |
| c:\xampp\htdocs\exMed\user_guide\database\caching.html                                                                             | HTML       |        553 |          1 |         88 |        642 |
| c:\xampp\htdocs\exMed\user_guide\database\call_function.html                                                                       | HTML       |        441 |          1 |         87 |        529 |
| c:\xampp\htdocs\exMed\user_guide\database\configuration.html                                                                       | HTML       |        670 |          1 |         87 |        758 |
| c:\xampp\htdocs\exMed\user_guide\database\connecting.html                                                                          | HTML       |        554 |          1 |         86 |        641 |
| c:\xampp\htdocs\exMed\user_guide\database\db_driver_reference.html                                                                 | HTML       |      1,352 |          1 |        130 |      1,483 |
| c:\xampp\htdocs\exMed\user_guide\database\examples.html                                                                            | HTML       |        505 |          1 |         91 |        597 |
| c:\xampp\htdocs\exMed\user_guide\database\forge.html                                                                               | HTML       |        931 |          1 |        102 |      1,034 |
| c:\xampp\htdocs\exMed\user_guide\database\helpers.html                                                                             | HTML       |        500 |          1 |         91 |        592 |
| c:\xampp\htdocs\exMed\user_guide\database\index.html                                                                               | HTML       |        428 |          1 |         85 |        514 |
| c:\xampp\htdocs\exMed\user_guide\database\metadata.html                                                                            | HTML       |        523 |          1 |         90 |        614 |
| c:\xampp\htdocs\exMed\user_guide\database\queries.html                                                                             | HTML       |        571 |          1 |         86 |        658 |
| c:\xampp\htdocs\exMed\user_guide\database\query_builder.html                                                                       | HTML       |      2,537 |          1 |        177 |      2,715 |
| c:\xampp\htdocs\exMed\user_guide\database\results.html                                                                             | HTML       |      1,099 |          1 |        131 |      1,231 |
| c:\xampp\htdocs\exMed\user_guide\database\transactions.html                                                                        | HTML       |        524 |          1 |         90 |        615 |
| c:\xampp\htdocs\exMed\user_guide\database\utilities.html                                                                           | HTML       |        885 |          1 |        107 |        993 |
| c:\xampp\htdocs\exMed\user_guide\documentation\index.html                                                                          | HTML       |        583 |          1 |        118 |        702 |
| c:\xampp\htdocs\exMed\user_guide\general\alternative_php.html                                                                      | HTML       |        469 |          1 |         96 |        566 |
| c:\xampp\htdocs\exMed\user_guide\general\ancillary_classes.html                                                                    | HTML       |        485 |          1 |         92 |        578 |
| c:\xampp\htdocs\exMed\user_guide\general\autoloader.html                                                                           | HTML       |        432 |          1 |         86 |        519 |
| c:\xampp\htdocs\exMed\user_guide\general\caching.html                                                                              | HTML       |        475 |          1 |         87 |        563 |
| c:\xampp\htdocs\exMed\user_guide\general\cli.html                                                                                  | HTML       |        485 |          1 |         87 |        573 |
| c:\xampp\htdocs\exMed\user_guide\general\common_functions.html                                                                     | HTML       |        679 |          1 |         96 |        776 |
| c:\xampp\htdocs\exMed\user_guide\general\compatibility_functions.html                                                              | HTML       |        816 |          1 |         97 |        914 |
| c:\xampp\htdocs\exMed\user_guide\general\controllers.html                                                                          | HTML       |        751 |          1 |         93 |        845 |
| c:\xampp\htdocs\exMed\user_guide\general\core_classes.html                                                                         | HTML       |        516 |          1 |         90 |        607 |
| c:\xampp\htdocs\exMed\user_guide\general\creating_drivers.html                                                                     | HTML       |        437 |          1 |         86 |        524 |
| c:\xampp\htdocs\exMed\user_guide\general\creating_libraries.html                                                                   | HTML       |        652 |          1 |        101 |        754 |
| c:\xampp\htdocs\exMed\user_guide\general\credits.html                                                                              | HTML       |        417 |          1 |         84 |        502 |
| c:\xampp\htdocs\exMed\user_guide\general\drivers.html                                                                              | HTML       |        443 |          1 |         86 |        530 |
| c:\xampp\htdocs\exMed\user_guide\general\environments.html                                                                         | HTML       |        451 |          1 |         86 |        538 |
| c:\xampp\htdocs\exMed\user_guide\general\errors.html                                                                               | HTML       |        558 |          1 |         90 |        649 |
| c:\xampp\htdocs\exMed\user_guide\general\helpers.html                                                                              | HTML       |        539 |          1 |         89 |        629 |
| c:\xampp\htdocs\exMed\user_guide\general\hooks.html                                                                                | HTML       |        529 |          1 |         87 |        617 |
| c:\xampp\htdocs\exMed\user_guide\general\index.html                                                                                | HTML       |        437 |          1 |         85 |        523 |
| c:\xampp\htdocs\exMed\user_guide\general\libraries.html                                                                            | HTML       |        434 |          1 |         86 |        521 |
| c:\xampp\htdocs\exMed\user_guide\general\managing_apps.html                                                                        | HTML       |        467 |          1 |         86 |        554 |
| c:\xampp\htdocs\exMed\user_guide\general\models.html                                                                               | HTML       |        571 |          1 |        101 |        673 |
| c:\xampp\htdocs\exMed\user_guide\general\profiling.html                                                                            | HTML       |        536 |          1 |         87 |        624 |
| c:\xampp\htdocs\exMed\user_guide\general\requirements.html                                                                         | HTML       |        425 |          1 |         85 |        511 |
| c:\xampp\htdocs\exMed\user_guide\general\reserved_names.html                                                                       | HTML       |        496 |          1 |         86 |        583 |
| c:\xampp\htdocs\exMed\user_guide\general\routing.html                                                                              | HTML       |        602 |          1 |         86 |        689 |
| c:\xampp\htdocs\exMed\user_guide\general\security.html                                                                             | HTML       |        576 |          1 |         86 |        663 |
| c:\xampp\htdocs\exMed\user_guide\general\styleguide.html                                                                           | HTML       |      1,022 |          1 |        105 |      1,128 |
| c:\xampp\htdocs\exMed\user_guide\general\urls.html                                                                                 | HTML       |        510 |          1 |         86 |        597 |
| c:\xampp\htdocs\exMed\user_guide\general\views.html                                                                                | HTML       |        602 |          1 |        101 |        704 |
| c:\xampp\htdocs\exMed\user_guide\general\welcome.html                                                                              | HTML       |        434 |          1 |         85 |        520 |
| c:\xampp\htdocs\exMed\user_guide\genindex.html                                                                                     | HTML       |      1,786 |          1 |        148 |      1,935 |
| c:\xampp\htdocs\exMed\user_guide\helpers\array_helper.html                                                                         | HTML       |        567 |          1 |         92 |        660 |
| c:\xampp\htdocs\exMed\user_guide\helpers\captcha_helper.html                                                                       | HTML       |        581 |          1 |         94 |        676 |
| c:\xampp\htdocs\exMed\user_guide\helpers\cookie_helper.html                                                                        | HTML       |        518 |          1 |         89 |        608 |
| c:\xampp\htdocs\exMed\user_guide\helpers\date_helper.html                                                                          | HTML       |      1,154 |          1 |        101 |      1,256 |
| c:\xampp\htdocs\exMed\user_guide\helpers\directory_helper.html                                                                     | HTML       |        499 |          1 |         87 |        587 |
| c:\xampp\htdocs\exMed\user_guide\helpers\download_helper.html                                                                      | HTML       |        468 |          1 |         87 |        556 |
| c:\xampp\htdocs\exMed\user_guide\helpers\email_helper.html                                                                         | HTML       |        509 |          1 |         88 |        598 |
| c:\xampp\htdocs\exMed\user_guide\helpers\file_helper.html                                                                          | HTML       |        733 |          1 |         95 |        829 |
| c:\xampp\htdocs\exMed\user_guide\helpers\form_helper.html                                                                          | HTML       |      1,456 |          1 |        141 |      1,598 |
| c:\xampp\htdocs\exMed\user_guide\helpers\html_helper.html                                                                          | HTML       |        983 |          1 |        107 |      1,091 |
| c:\xampp\htdocs\exMed\user_guide\helpers\index.html                                                                                | HTML       |        432 |          1 |         85 |        518 |
| c:\xampp\htdocs\exMed\user_guide\helpers\inflector_helper.html                                                                     | HTML       |        592 |          1 |         92 |        685 |
| c:\xampp\htdocs\exMed\user_guide\helpers\language_helper.html                                                                      | HTML       |        461 |          1 |         88 |        550 |
| c:\xampp\htdocs\exMed\user_guide\helpers\number_helper.html                                                                        | HTML       |        471 |          1 |         87 |        559 |
| c:\xampp\htdocs\exMed\user_guide\helpers\path_helper.html                                                                          | HTML       |        466 |          1 |         90 |        557 |
| c:\xampp\htdocs\exMed\user_guide\helpers\security_helper.html                                                                      | HTML       |        577 |          1 |         91 |        669 |
| c:\xampp\htdocs\exMed\user_guide\helpers\smiley_helper.html                                                                        | HTML       |        613 |          1 |         94 |        708 |
| c:\xampp\htdocs\exMed\user_guide\helpers\string_helper.html                                                                        | HTML       |        775 |          1 |         97 |        873 |
| c:\xampp\htdocs\exMed\user_guide\helpers\text_helper.html                                                                          | HTML       |        750 |          1 |         96 |        847 |
| c:\xampp\htdocs\exMed\user_guide\helpers\typography_helper.html                                                                    | HTML       |        517 |          1 |         89 |        607 |
| c:\xampp\htdocs\exMed\user_guide\helpers\url_helper.html                                                                           | HTML       |        940 |          1 |        103 |      1,044 |
| c:\xampp\htdocs\exMed\user_guide\helpers\xml_helper.html                                                                           | HTML       |        471 |          1 |         87 |        559 |
| c:\xampp\htdocs\exMed\user_guide\index.html                                                                                        | HTML       |        627 |          1 |         84 |        712 |
| c:\xampp\htdocs\exMed\user_guide\installation\downloads.html                                                                       | HTML       |        451 |          1 |         86 |        538 |
| c:\xampp\htdocs\exMed\user_guide\installation\index.html                                                                           | HTML       |        446 |          1 |         85 |        532 |
| c:\xampp\htdocs\exMed\user_guide\installation\troubleshooting.html                                                                 | HTML       |        424 |          1 |         86 |        511 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_120.html                                                                     | HTML       |        428 |          1 |         87 |        516 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_130.html                                                                     | HTML       |        529 |          1 |         89 |        619 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_131.html                                                                     | HTML       |        439 |          1 |         87 |        527 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_132.html                                                                     | HTML       |        437 |          1 |         87 |        525 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_133.html                                                                     | HTML       |        451 |          1 |         87 |        539 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_140.html                                                                     | HTML       |        477 |          1 |         89 |        567 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_141.html                                                                     | HTML       |        476 |          1 |         87 |        564 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_150.html                                                                     | HTML       |        502 |          1 |         88 |        591 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_152.html                                                                     | HTML       |        448 |          1 |         87 |        536 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_153.html                                                                     | HTML       |        435 |          1 |         87 |        523 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_154.html                                                                     | HTML       |        459 |          1 |         87 |        547 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_160.html                                                                     | HTML       |        477 |          1 |         88 |        566 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_161.html                                                                     | HTML       |        434 |          1 |         87 |        522 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_162.html                                                                     | HTML       |        449 |          1 |         87 |        537 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_163.html                                                                     | HTML       |        434 |          1 |         87 |        522 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_170.html                                                                     | HTML       |        461 |          1 |         87 |        549 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_171.html                                                                     | HTML       |        434 |          1 |         87 |        522 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_172.html                                                                     | HTML       |        451 |          1 |         87 |        539 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_200.html                                                                     | HTML       |        544 |          1 |         87 |        632 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_201.html                                                                     | HTML       |        444 |          1 |         87 |        532 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_202.html                                                                     | HTML       |        437 |          1 |         87 |        525 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_203.html                                                                     | HTML       |        467 |          1 |         87 |        555 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_210.html                                                                     | HTML       |        431 |          1 |         87 |        519 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_211.html                                                                     | HTML       |        435 |          1 |         87 |        523 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_212.html                                                                     | HTML       |        426 |          1 |         87 |        514 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_213.html                                                                     | HTML       |        426 |          1 |         87 |        514 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_214.html                                                                     | HTML       |        421 |          1 |         87 |        509 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_220.html                                                                     | HTML       |        430 |          1 |         87 |        518 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_221.html                                                                     | HTML       |        421 |          1 |         87 |        509 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_222.html                                                                     | HTML       |        421 |          1 |         87 |        509 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_223.html                                                                     | HTML       |        421 |          1 |         87 |        509 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_300.html                                                                     | HTML       |      1,229 |          1 |        100 |      1,330 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_301.html                                                                     | HTML       |        425 |          1 |         87 |        513 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_302.html                                                                     | HTML       |        432 |          1 |         87 |        520 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_303.html                                                                     | HTML       |        457 |          1 |         89 |        547 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_304.html                                                                     | HTML       |        421 |          1 |         87 |        509 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_305.html                                                                     | HTML       |        421 |          1 |         87 |        509 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_306.html                                                                     | HTML       |        451 |          1 |         87 |        539 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_310.html                                                                     | HTML       |        439 |          1 |         87 |        527 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_311.html                                                                     | HTML       |        421 |          1 |         87 |        509 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_3110.html                                                                    | HTML       |        429 |          1 |         87 |        517 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_3111.html                                                                    | HTML       |        426 |          1 |         87 |        514 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_312.html                                                                     | HTML       |        445 |          1 |         88 |        534 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_313.html                                                                     | HTML       |        451 |          1 |         87 |        539 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_314.html                                                                     | HTML       |        421 |          1 |         87 |        509 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_315.html                                                                     | HTML       |        421 |          1 |         87 |        509 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_316.html                                                                     | HTML       |        435 |          1 |         87 |        523 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_317.html                                                                     | HTML       |        434 |          1 |         87 |        522 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_318.html                                                                     | HTML       |        421 |          1 |         87 |        509 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_319.html                                                                     | HTML       |        426 |          1 |         87 |        514 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrade_b11.html                                                                     | HTML       |        478 |          1 |         88 |        567 |
| c:\xampp\htdocs\exMed\user_guide\installation\upgrading.html                                                                       | HTML       |        466 |          1 |         86 |        553 |
| c:\xampp\htdocs\exMed\user_guide\libraries\benchmark.html                                                                          | HTML       |        599 |          1 |        103 |        703 |
| c:\xampp\htdocs\exMed\user_guide\libraries\caching.html                                                                            | HTML       |        790 |          1 |        104 |        895 |
| c:\xampp\htdocs\exMed\user_guide\libraries\calendar.html                                                                           | HTML       |        854 |          1 |        117 |        972 |
| c:\xampp\htdocs\exMed\user_guide\libraries\cart.html                                                                               | HTML       |        899 |          1 |        125 |      1,025 |
| c:\xampp\htdocs\exMed\user_guide\libraries\config.html                                                                             | HTML       |        735 |          1 |         98 |        834 |
| c:\xampp\htdocs\exMed\user_guide\libraries\email.html                                                                              | HTML       |      1,108 |          1 |        109 |      1,218 |
| c:\xampp\htdocs\exMed\user_guide\libraries\encrypt.html                                                                            | HTML       |        690 |          1 |         96 |        787 |
| c:\xampp\htdocs\exMed\user_guide\libraries\encryption.html                                                                         | HTML       |      1,307 |          1 |         97 |      1,405 |
| c:\xampp\htdocs\exMed\user_guide\libraries\file_uploading.html                                                                     | HTML       |        912 |          1 |        112 |      1,025 |
| c:\xampp\htdocs\exMed\user_guide\libraries\form_validation.html                                                                    | HTML       |      1,789 |          1 |        142 |      1,932 |
| c:\xampp\htdocs\exMed\user_guide\libraries\ftp.html                                                                                | HTML       |        900 |          1 |        115 |      1,016 |
| c:\xampp\htdocs\exMed\user_guide\libraries\image_lib.html                                                                          | HTML       |      1,152 |          1 |        102 |      1,255 |
| c:\xampp\htdocs\exMed\user_guide\libraries\index.html                                                                              | HTML       |        441 |          1 |         85 |        527 |
