Date : 2021-02-12 01:56:08
Directory : c:\xampp\htdocs\exMed
Total : 5308 files,  463290 codes, 55597 comments, 61492 blanks, all 580379 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\fullcalendar-3.10.0\locale\sr.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\fullcalendar-3.10.0\locale\sv.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\fullcalendar-3.10.0\locale\th.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\fullcalendar-3.10.0\locale\tr.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\fullcalendar-3.10.0\locale\uk.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\fullcalendar-3.10.0\locale\vi.js                                              | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\fullcalendar-3.10.0\locale\zh-cn.js                                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\fullcalendar-3.10.0\locale\zh-hk.js                                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\fullcalendar-3.10.0\locale\zh-tw.js                                           | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\jquery-3.2.1.min.js                                                           | JavaScript |          3 |          1 |          1 |          5 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\jquery-ui.min.js                                                              | JavaScript |          8 |          4 |          1 |         13 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\lightbox2\dist\css\lightbox.css                                               | CSS        |        176 |          4 |         28 |        208 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\lightbox2\dist\js\lightbox-plus-jquery.js                                     | JavaScript |      6,996 |      1,775 |      2,003 |     10,774 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\lightbox2\dist\js\lightbox-plus-jquery.min.js                                 | JavaScript |          3 |         35 |          0 |         38 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\lightbox2\dist\js\lightbox.js                                                 | JavaScript |        372 |         78 |         70 |        520 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\lightbox2\dist\js\lightbox.min.js                                             | JavaScript |          1 |         14 |          0 |         15 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\lightbox2\src\css\lightbox.css                                                | CSS        |        176 |          4 |         28 |        208 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\lightbox2\src\js\lightbox.js                                                  | JavaScript |        372 |         78 |         70 |        520 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\mdi-font\css\material-design-iconic-font.css                                  | CSS        |      5,160 |          6 |          1 |      5,167 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\mdi-font\css\material-design-iconic-font.min.css                              | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\mdi-font\fonts\Material-Design-Iconic-Font.svg                                | XML        |        787 |          0 |          0 |        787 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\perfect-scrollbar\perfect-scrollbar.css                                       | CSS        |         87 |         18 |         12 |        117 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\perfect-scrollbar\perfect-scrollbar.js                                        | JavaScript |      1,091 |         38 |        184 |      1,313 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\perfect-scrollbar\perfect-scrollbar.min.js                                    | JavaScript |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\progressbar\progressbar.js                                                    | JavaScript |      1,385 |        734 |        365 |      2,484 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\progressbar\progressbar.min.js                                                | JavaScript |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\select2\select2.min.css                                                       | CSS        |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\select2\select2.min.js                                                        | JavaScript |          3 |          0 |          0 |          3 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\slick\config.rb                                                               | Ruby       |          8 |          0 |          2 |         10 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\slick\fonts\slick.svg                                                         | XML        |         13 |          0 |          2 |         15 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\slick\slick-theme.css                                                         | CSS        |        170 |          4 |         31 |        205 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\slick\slick-theme.less                                                        | Less       |        152 |          5 |         12 |        169 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\slick\slick-theme.scss                                                        | SCSS       |        170 |          9 |         16 |        195 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\slick\slick.css                                                               | CSS        |        104 |          1 |         15 |        120 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\slick\slick.js                                                                | JavaScript |      2,134 |         49 |        843 |      3,026 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\slick\slick.less                                                              | Less       |         87 |          1 |         13 |        101 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\slick\slick.min.js                                                            | JavaScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\slick\slick.scss                                                              | SCSS       |         87 |          1 |         13 |        101 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\smk-accordion\accordion.css                                                   | CSS        |         46 |          0 |          1 |         47 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\smk-accordion\accordion.js                                                    | JavaScript |        173 |        164 |         78 |        415 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\smk-accordion\accordion.min.js                                                | JavaScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\sweetalert\sweetalert.min.js                                                  | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\vector-map\jquery.vmap.brazil.js                                              | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\vector-map\jquery.vmap.europe.js                                              | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\vector-map\jquery.vmap.france.js                                              | JavaScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\vector-map\jquery.vmap.germany.js                                             | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\vector-map\jquery.vmap.js                                                     | JavaScript |      1,054 |          8 |        227 |      1,289 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\vector-map\jquery.vmap.min.js                                                 | JavaScript |          1 |          8 |          1 |         10 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\vector-map\jquery.vmap.russia.js                                              | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\vector-map\jquery.vmap.sampledata.js                                          | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\vector-map\jquery.vmap.usa.js                                                 | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\vector-map\jquery.vmap.world.js                                               | JavaScript |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\vector-map\jqvmap.min.css                                                     | CSS        |         45 |          0 |          0 |         45 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\wow\animate.css                                                               | CSS        |      2,947 |         11 |        537 |      3,495 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\vendor\wow\wow.min.js                                                                | JavaScript |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\exMed\assets\CoolAdmin-master\~$README.md                                                                          | Markdown   |          5 |          0 |          0 |          5 |
| c:\xampp\htdocs\exMed\assets\quixlab\app-calender.html                                                                             | HTML       |        448 |         64 |         28 |        540 |
| c:\xampp\htdocs\exMed\assets\quixlab\app-profile.html                                                                              | HTML       |        496 |         57 |         34 |        587 |
| c:\xampp\htdocs\exMed\assets\quixlab\blank.html                                                                                    | HTML       |        362 |         57 |         26 |        445 |
| c:\xampp\htdocs\exMed\assets\quixlab\changelog.md                                                                                  | Markdown   |          3 |          0 |          0 |          3 |
| c:\xampp\htdocs\exMed\assets\quixlab\chart-chartist.html                                                                           | HTML       |        565 |         57 |         26 |        648 |
| c:\xampp\htdocs\exMed\assets\quixlab\chart-chartjs.html                                                                            | HTML       |        454 |         70 |         31 |        555 |
| c:\xampp\htdocs\exMed\assets\quixlab\chart-flot.html                                                                               | HTML       |        475 |         60 |         27 |        562 |
| c:\xampp\htdocs\exMed\assets\quixlab\chart-morris.html                                                                             | HTML       |        415 |         57 |         26 |        498 |
| c:\xampp\htdocs\exMed\assets\quixlab\chart-peity.html                                                                              | HTML       |        594 |         57 |         26 |        677 |
| c:\xampp\htdocs\exMed\assets\quixlab\chart-sparkline.html                                                                          | HTML       |        475 |         58 |         26 |        559 |
| c:\xampp\htdocs\exMed\assets\quixlab\css\style.css                                                                                 | CSS        |     12,945 |        100 |      1,657 |     14,702 |
| c:\xampp\htdocs\exMed\assets\quixlab\documentation.html                                                                            | HTML       |        112 |          4 |         16 |        132 |
| c:\xampp\htdocs\exMed\assets\quixlab\email-compose.html                                                                            | HTML       |        438 |         57 |         25 |        520 |
| c:\xampp\htdocs\exMed\assets\quixlab\email-inbox.html                                                                              | HTML       |        686 |         58 |         25 |        769 |
| c:\xampp\htdocs\exMed\assets\quixlab\email-read.html                                                                               | HTML       |        455 |         57 |         26 |        538 |
| c:\xampp\htdocs\exMed\assets\quixlab\form-basic.html                                                                               | HTML       |      1,293 |         57 |         25 |      1,375 |
| c:\xampp\htdocs\exMed\assets\quixlab\form-editor.html                                                                              | HTML       |        398 |         57 |         26 |        481 |
| c:\xampp\htdocs\exMed\assets\quixlab\form-picker.html                                                                              | HTML       |        521 |         72 |         28 |        621 |
| c:\xampp\htdocs\exMed\assets\quixlab\form-step.html                                                                                | HTML       |        458 |         57 |         27 |        542 |
| c:\xampp\htdocs\exMed\assets\quixlab\form-validation.html                                                                          | HTML       |        486 |         57 |         26 |        569 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\cryptocoins\css\cryptocoins-colors.css                                                  | CSS        |        143 |          0 |          1 |        144 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\cryptocoins\css\cryptocoins.css                                                         | CSS        |        862 |          3 |        285 |      1,150 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flag-icon.min.css                                                         | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ad.svg                                                              | XML        |        151 |          0 |          1 |        152 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ae.svg                                                              | XML        |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\af.svg                                                              | XML        |        431 |          0 |          1 |        432 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ag.svg                                                              | XML        |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ai.svg                                                              | XML        |        767 |          0 |          1 |        768 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\al.svg                                                              | XML        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\am.svg                                                              | XML        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ao.svg                                                              | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\aq.svg                                                              | XML        |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ar.svg                                                              | XML        |        143 |          0 |          1 |        144 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\as.svg                                                              | XML        |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\at.svg                                                              | XML        |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\au.svg                                                              | XML        |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\aw.svg                                                              | XML        |        186 |          0 |          1 |        187 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ax.svg                                                              | XML        |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\az.svg                                                              | XML        |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ba.svg                                                              | XML        |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bb.svg                                                              | XML        |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bd.svg                                                              | XML        |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\be.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bf.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bg.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bh.svg                                                              | XML        |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bi.svg                                                              | XML        |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bj.svg                                                              | XML        |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bl.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bm.svg                                                              | XML        |         99 |          0 |          1 |        100 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bn.svg                                                              | XML        |         36 |          0 |          1 |         37 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bo.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bq.svg                                                              | XML        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\br.svg                                                              | XML        |         45 |          0 |          1 |         46 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bs.svg                                                              | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bt.svg                                                              | XML        |        122 |          0 |          1 |        123 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bv.svg                                                              | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bw.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\by.svg                                                              | XML        |         61 |          0 |          1 |         62 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\bz.svg                                                              | XML        |        235 |          0 |          1 |        236 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ca.svg                                                              | XML        |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\cc.svg                                                              | XML        |         19 |          0 |          1 |         20 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\cd.svg                                                              | XML        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\cf.svg                                                              | XML        |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\cg.svg                                                              | XML        |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ch.svg                                                              | XML        |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ci.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ck.svg                                                              | XML        |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\cl.svg                                                              | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\cm.svg                                                              | XML        |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\cn.svg                                                              | XML        |         19 |          0 |          1 |         20 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\co.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\cr.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\cu.svg                                                              | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\cv.svg                                                              | XML        |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\cw.svg                                                              | XML        |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\cx.svg                                                              | XML        |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\cy.svg                                                              | XML        |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\cz.svg                                                              | XML        |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\de.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\dj.svg                                                              | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\dk.svg                                                              | XML        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\dm.svg                                                              | XML        |        152 |          0 |          1 |        153 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\do.svg                                                              | XML        |      6,748 |          0 |          1 |      6,749 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\dz.svg                                                              | XML        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ec.svg                                                              | XML        |        143 |          0 |          1 |        144 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ee.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\eg.svg                                                              | XML        |         38 |          0 |          1 |         39 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\eh.svg                                                              | XML        |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\er.svg                                                              | XML        |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\es.svg                                                              | XML        |        581 |          0 |          1 |        582 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\et.svg                                                              | XML        |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\fi.svg                                                              | XML        |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\fj.svg                                                              | XML        |        138 |          0 |          1 |        139 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\fk.svg                                                              | XML        |         90 |          0 |          1 |         91 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\fm.svg                                                              | XML        |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\fo.svg                                                              | XML        |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\fr.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ga.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gb.svg                                                              | XML        |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gd.svg                                                              | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ge.svg                                                              | XML        |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gf.svg                                                              | XML        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gg.svg                                                              | XML        |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gh.svg                                                              | XML        |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gi.svg                                                              | XML        |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gl.svg                                                              | XML        |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gm.svg                                                              | XML        |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gn.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gp.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gq.svg                                                              | XML        |         36 |          0 |          1 |         37 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gr.svg                                                              | XML        |         22 |          0 |          1 |         23 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gs.svg                                                              | XML        |        205 |          0 |          1 |        206 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gt.svg                                                              | XML        |        204 |          0 |          1 |        205 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gu.svg                                                              | XML        |         39 |          0 |          1 |         40 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gw.svg                                                              | XML        |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\gy.svg                                                              | XML        |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\hk.svg                                                              | XML        |         34 |          0 |          1 |         35 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\hm.svg                                                              | XML        |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\hn.svg                                                              | XML        |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\hr.svg                                                              | XML        |         61 |          0 |          1 |         62 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ht.svg                                                              | XML        |        128 |          0 |          1 |        129 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\hu.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\id.svg                                                              | XML        |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ie.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\il.svg                                                              | XML        |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\im.svg                                                              | XML        |         36 |          0 |          1 |         37 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\in.svg                                                              | XML        |         25 |          0 |          1 |         26 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\io.svg                                                              | XML        |        152 |          0 |          1 |        153 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\iq.svg                                                              | XML        |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ir.svg                                                              | XML        |        223 |          0 |          1 |        224 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\is.svg                                                              | XML        |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\it.svg                                                              | XML        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\je.svg                                                              | XML        |         36 |          0 |          1 |         37 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\jm.svg                                                              | XML        |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\jo.svg                                                              | XML        |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\jp.svg                                                              | XML        |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\ke.svg                                                              | XML        |         23 |          0 |          1 |         24 |
| c:\xampp\htdocs\exMed\assets\quixlab\icons\flag-icon-css\flags\kg.svg                                                              | XML        |         15 |          0 |          1 |         16 |
